Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
"Digital Marketing, Database Engineering",On-site,6.1,"Negotiation, Active Listening, Leadership, Analytical Thinking, Decision Making","PHP, Lisp","Android Studio, Weights & Biases",iOS App Development with Swift (Apple),False,True,6,,"Cryptography, Discrete Mathematics, Artificial Intelligence, Computer Networks",0,"User-Centered, Logical",Data Engineer
"Quality Assurance / Testing, Machine Learning",Remote,9.8,"Communication, Goal-Oriented Mindset",R,"Jira, ELK Stack","Microsoft Certified: SQL Associate, Microsoft Certified: Azure AI Engineer, Backend Development (Node.js)",False,False,1,"Innovation Challenges, Photography, Animation Design, AR/VR Projects","Distributed Systems, Operating Systems",3,"Experimental, Logical",Security Engineer
Deep Learning,Hybrid,8.5,"Collaboration, Critical Thinking, Creative Thinking, Resilience, Analytical Thinking",C++,"GitLab CI/CD, Node.js, CircleCI, Jupyter Notebook",HashiCorp Certified: Terraform Associate,True,True,0,"Mentorship Programs, Hackathons, Student Government, Debate Clubs","Data Mining, Computer Architecture, Sociology, Web Technologies",0,Logical,AR/VR Developer
"Digital Marketing, Data Science, Academic Research",Hybrid,8.1,"Multitasking, Conflict Resolution, Work Ethic","MATLAB, C++, Haskell, R","Bitbucket, Ansible, PyTorch, Swagger, Canva, MongoDB","Google Cloud Associate Cloud Engineer, Google UX Design Certificate, Cisco CCNA",True,True,6,"Animation Design, Club Leadership Roles","Technical Communication, Computer Networks",1,"Data-driven, Analytical",AI Prompt Engineer
Database Engineering,On-site,9.5,"Time Management, Attention to Detail, Multitasking, Business Communication, Problem Solving","Go, Rust","IntelliJ IDEA, Unity, Android Studio",PCEP – Certified Entry-Level Python Programmer,True,True,0,"Animation Design, Photography, Entrepreneurship Clubs, Mentorship Programs","Discrete Mathematics, Quantum Computing, Information Security, Economics",0,Creative,Embedded Systems Engineer
"Embedded Systems, Networking, Computer Vision",Hybrid,9.5,"Active Listening, Planning and Organization, Collaboration, Multitasking, Creative Thinking",Dart,"React, Spark, Hadoop, Laravel",,False,True,6,"Open Source Contributions, Student Government, Innovation Challenges, Event Management","Cryptography, Distributed Systems, Business Intelligence, Computer Vision",3,"Data-driven, User-Centered",Network Engineer
"Design Systems, Machine Learning",Remote,8.0,"Collaboration, Multitasking, Conflict Resolution, Empathy",Shell (Bash),"Grafana, Weights & Biases, Pandas, Spark, JUnit, Jupyter Notebook","Responsive Web Design (freeCodeCamp), IBM Data Science Professional Certificate",True,True,7,Debate Clubs,"Ethical Hacking, Artificial Intelligence, Compiler Design",4,"Experimental, Intuitive",Technical Writer
"Full Stack Development, Backend Development",Hybrid,7.6,Innovative Thinking,JavaScript,"React, Git, Flutter, Django","CompTIA Security+, Offensive Security Certified Professional (OSCP), ISTQB Foundation Level",False,True,3,Podcast Creation,"Chemistry, Digital Logic Design, Software Engineering",4,Problem Solving,Full Stack Developer
"Platform Engineering, Design Systems",Remote,6.6,"Communication, Conflict Resolution, Presentation Skills",,"Podman, Airflow","Tableau Desktop Specialist, iOS App Development with Swift (Apple), Android Developer Certification (Google)",False,False,6,Volunteering,"Calculus, Linear Algebra, Machine Learning, Sociology",3,Logical,Quality Assurance Engineer
"Game Development, Automation, DevOps",Hybrid,6.2,Teamwork,"SQL, PowerShell, Go","Grafana, VS Code, Ansible, Selenium, Looker","Docker Certified Associate, AWS Certified Cloud Practitioner, HashiCorp Certified: Terraform Associate, Kubernetes Certified Administrator (CKA)",False,False,6,"Case Competitions, Technical Writing","Artificial Intelligence, Machine Learning, Operating Systems",1,Problem Solving,DevOps Engineer
"Quality Assurance / Testing, Database Engineering, Software Engineering",Remote,9.4,"Communication, Multitasking","PowerShell, JavaScript","Flask, Vue.js, Terraform, AWS","Tableau Desktop Specialist, Microsoft Certified Azure Fundamentals, Oracle Certified Java Programmer",True,True,6,"Photography, Event Management","Bioinformatics, Technical Communication",1,Collaborative,Research Intern (AI/ML)
"Web Development, Machine Learning",On-site,9.7,"Goal-Oriented Mindset, Problem Solving","Go, C++","PostgreSQL, Docker","Microsoft Certified: Azure AI Engineer, Certified ScrumMaster (CSM)",True,False,4,Startup Ideation Events,"Ethical Hacking, User Interface Design, Big Data Analytics",3,User-Centered,Project Manager
Machine Learning,Remote,8.4,Teamwork,,"Bitbucket, PyTorch, Adobe XD",,False,False,5,,"Distributed Systems, Data Mining, Robotics, Object-Oriented Programming",1,"Result-Oriented, Collaborative",MLOps Engineer
"Academic Research, Cloud Computing",Hybrid,9.1,"Creative Thinking, Conflict Resolution, Multitasking","HTML, Assembly, Swift","PostgreSQL, Terraform, Weights & Biases, Jira","Machine Learning (Stanford/Coursera), AWS Certified Security Specialty",True,True,2,,"Human Computer Interaction, Machine Learning, Psychology",1,Collaborative,IoT Engineer
"Technical Writing, Big Data",Remote,8.3,Negotiation,"R, Python","Scikit-learn, TensorFlow, Flask, Spark, AWS",,True,False,1,"Coding Clubs, Gaming","Machine Learning, Big Data Analytics",1,Experimental,Data Scientist
"Systems Programming, Business Analysis",On-site,6.8,"Work Ethic, Multitasking, Decision Making, Empathy, Conflict Resolution",Lisp,"Jest, GitLab CI/CD, Power BI, Cypress","Machine Learning (Stanford/Coursera), Certified Ethical Hacker (CEH), Project Management Professional (PMP)",False,False,8,"Music, Online Coding Contests, Workshop Hosting, Debate Clubs","Cloud Infrastructure, Compiler Design, Mobile Application Development, Big Data Analytics",2,Big Picture Thinker,Game Developer
"Deep Learning, Consulting",Remote,6.2,"Emotional Intelligence, Accountability, Customer Focus, Conflict Resolution, Work Ethic",,"MySQL, Docker, Postman, GCP",,True,True,1,"Student Government, UI/UX Projects, Case Competitions, Podcast Creation","Distributed Systems, Bioinformatics, Operating Systems",2,Systematic,Research Intern (General)
"Systems Programming, IoT (Internet of Things), Frontend Development",Hybrid,8.4,Customer Focus,"Kotlin, Haskell","NumPy, TensorFlow, Flask, Kubernetes, Google Colab, PyCharm",,True,True,2,"Coding Clubs, Volunteering, Community Service","Biology, Data Structures and Algorithms",2,User-Centered,Business Analyst
"UI/UX Design, Artificial Intelligence, Quality Assurance / Testing",On-site,9.8,"Decision Making, Time Management","SQL, C++, R, Python","Docker, VS Code, Azure","HashiCorp Certified: Terraform Associate, ISTQB Foundation Level",False,False,1,"Public Speaking, Music, Photography","Artificial Intelligence, Linear Algebra",3,Innovative Thinking,Machine Learning Engineer
"Backend Development, Mobile App Development, Database Engineering",On-site,6.9,Teamwork,SQL,"Scikit-learn, Docker, Cypress, Express.js, MySQL","Responsive Web Design (freeCodeCamp), AWS Certified Cloud Practitioner",True,True,0,"Coding Clubs, Video Editing","Mobile Application Development, Physics, Sociology",1,"Creative, Intuitive",Ph.D. Candidate
"Systems Programming, Data Science, Business Analysis",Hybrid,9.5,"Collaboration, Multitasking","Julia, Go","Helm, GCP, Cypress","Google Cloud Associate Cloud Engineer, CompTIA Security+",False,False,6,Technical Writing,"Bioinformatics, Physics, Entrepreneurship, Sociology",4,"Creative, Result-Oriented",Product Manager
"Site Reliability Engineering (SRE), Frontend Development, Computer Vision",Hybrid,6.4,"Work Ethic, Communication, Negotiation, Multitasking, Leadership","HTML, Scala","Confluence, PostgreSQL, PyTorch, Google Colab, Pytest, Django","Project Management Professional (PMP), Kubernetes Certified Administrator (CKA), ISTQB Foundation Level",False,False,0,"Open Source Contributions, Podcast Creation, Robotics Competitions, Blogging","Psychology, Quantum Computing",4,"Intuitive, Logical",Systems Engineer
"Platform Engineering, Database Engineering, Finance Technology",Remote,8.5,"Resilience, Attention to Detail, Presentation Skills, Business Communication, Goal-Oriented Mindset","PHP, SQL, C#, Python","React Native, Helm, TensorFlow, GitHub","Google Data Analytics Certificate, Linux Foundation Certified Kubernetes Admin, Microsoft Certified: Power BI Data Analyst Associate",True,True,8,"Open Source Contributions, Startup Ideation Events, Sports, Graphic Design","Chemistry, Biology, Object-Oriented Programming",1,Detail-Oriented,Platform Engineer
"Platform Engineering, Frontend Development, DevOps",Remote,9.4,Analytical Thinking,,"VS Code, Git, Pandas, Swagger, Spring Boot","Responsive Web Design (freeCodeCamp), Frontend Development Libraries (freeCodeCamp), Cisco CCNA",False,False,0,"Graphic Design, Open Source Contributions, Technical Writing","Data Structures and Algorithms, User Interface Design",0,Creative,Software Developer (Frontend)
"Machine Learning, Big Data",Remote,8.1,"Communication, Active Listening","Shell (Bash), Swift, Haskell, R","Unity, Git, Android Studio, Adobe XD, Jira",,True,True,2,"Hackathons, Blogging, AR/VR Projects","Database Management Systems, Linear Algebra, Big Data Analytics",1,"Analytical, Big Picture Thinker",Data Scientist
"UI/UX Design, Site Reliability Engineering (SRE)",Hybrid,7.3,"Presentation Skills, Work Ethic, Innovative Thinking, Accountability, Business Communication","Shell (Bash), Go","Cypress, Terraform, Adobe XD, Pytest, Confluence",Microsoft Certified Azure Fundamentals,True,True,1,"Event Management, UI/UX Projects","Compiler Design, Digital Logic Design, Psychology",4,"Pragmatic, Intuitive",Systems Engineer
"Academic Research, Cloud Computing",Hybrid,9.8,"Innovative Thinking, Attention to Detail, Multitasking","Assembly, Swift, Scala","Terraform, Azure","Google Cloud Associate Cloud Engineer, Google UX Design Certificate, Backend Development (Node.js)",False,True,2,"Sports, Robotics Competitions","Human Computer Interaction, Data Mining, IoT (Internet of Things), Project Management",0,Pragmatic,IoT Engineer
"Systems Programming, Machine Learning",On-site,9.1,"Planning and Organization, Innovative Thinking, Goal-Oriented Mindset","Assembly, JavaScript, R, Python","Jira, Figma, React Native, ELK Stack, React, PyCharm","SAFe Agilist Certification, Microsoft Certified Azure Fundamentals",False,False,5,Case Competitions,"Distributed Systems, Operating Systems, Computer Vision",4,Experimental,Security Engineer
"Deep Learning, Artificial Intelligence, Machine Learning",Remote,6.9,"Customer Focus, Adaptability, Presentation Skills, Analytical Thinking",,"Jenkins, Airflow, AWS, MySQL, MongoDB","Machine Learning (Stanford/Coursera), Deep Learning Specialization (Coursera), Microsoft Certified: Azure AI Engineer, AWS Certified Machine Learning - Specialty",True,True,1,"Music, Coding Clubs","Human Computer Interaction, Linear Algebra",0,Problem Solving,Machine Learning Engineer
"Backend Development, Database Engineering, Cloud Computing",Hybrid,6.7,Presentation Skills,Java,"Scikit-learn, Jest, Selenium, Looker, IntelliJ IDEA","Microsoft Certified Azure Fundamentals, Linux Foundation Certified Kubernetes Admin, Microsoft Certified: Azure AI Engineer",True,True,5,"Online Coding Contests, Robotics Competitions, Student Government, Case Competitions","Mobile Application Development, Sociology",4,Intuitive,Ph.D. Candidate
"Natural Language Processing, Bioinformatics, Entrepreneurship",Hybrid,6.3,"Emotional Intelligence, Multitasking, Problem Solving, Attention to Detail, Creative Thinking",PowerShell,"PyTorch, Sketch",Machine Learning (Stanford/Coursera),False,False,7,"Community Service, Mentorship Programs","Mobile Application Development, Linear Algebra, Web Technologies, Big Data Analytics",1,Strategic,Cybersecurity Analyst
"UI/UX Design, Backend Development, Ethical Hacking",Hybrid,9.6,"Multitasking, Adaptability, Active Listening, Negotiation, Accountability","MATLAB, C#","Helm, Mocha, Looker, Pytest, Tableau",ISTQB Foundation Level,False,False,1,"Coding Clubs, Blogging","Ethical Hacking, Entrepreneurship, Web Technologies",3,"Systematic, Analytical",Blockchain Developer
Site Reliability Engineering (SRE),On-site,7.3,"Time Management, Innovative Thinking",,"Grafana, Xcode, GCP","SAFe Agilist Certification, CompTIA Security+, Frontend Development Libraries (freeCodeCamp)",True,False,8,"Coding Clubs, Sports","Virtualization and Containers, Computer Networks, Probability and Statistics, Cloud Computing",1,"Logical, Problem Solving",DevOps Engineer
"UI/UX Design, DevOps",Remote,9.1,"Attention to Detail, Accountability, Time Management",,"GitLab CI/CD, Airflow, Spark, Swagger, Tableau, Spring Boot",ISTQB Foundation Level,False,True,4,"Public Speaking, Community Service","Software Engineering, Compiler Design, Robotics, Web Technologies",0,Detail-Oriented,Big Data Engineer
"Machine Learning, Education Technology",Hybrid,8.7,"Problem Solving, Analytical Thinking, Adaptability","Shell (Bash), R","GitLab CI/CD, Insomnia, Weights & Biases, MySQL, Podman","IBM Data Science Professional Certificate, Microsoft Certified Azure Fundamentals, AWS Certified Cloud Practitioner",False,False,2,"Podcast Creation, UI/UX Projects","Distributed Systems, Probability and Statistics",2,Intuitive,Technical Writer
"Site Reliability Engineering (SRE), Big Data, Systems Programming",On-site,6.2,"Strategic Thinking, Resilience, Teamwork, Accountability","MATLAB, Swift, Haskell, Dart","Scikit-learn, Sketch, Unreal Engine, Kubernetes, Laravel, MongoDB","Kubernetes Certified Administrator (CKA), Certified ScrumMaster (CSM)",False,False,8,"Student Government, Community Service, Public Speaking, Blogging","Chemistry, Operating Systems",1,Innovative,Software Test Automation Engineer
"Digital Marketing, Database Engineering",Hybrid,9.1,"Goal-Oriented Mindset, Customer Focus, Empathy, Negotiation, Problem Solving",Java,"VS Code, Weights & Biases, Prometheus, Android Studio, Express.js, Podman","Google Data Analytics Certificate, CompTIA Security+",False,False,6,"Video Editing, Robotics Competitions, Music, Community Service","Cryptography, Discrete Mathematics",1,Logical,Data Engineer
"Web Development, Backend Development",Remote,8.7,"Time Management, Multitasking, Teamwork","SQL, Go, Java","PostgreSQL, Express.js, ELK Stack, Tableau, AWS",,False,False,0,AR/VR Projects,"Distributed Systems, Technical Communication, Project Management, Web Technologies",1,Systematic,Full Stack Developer
"Full Stack Development, Design Systems, Big Data",On-site,8.8,"Leadership, Innovative Thinking, Creative Thinking","Assembly, Rust, Java, Python","Scikit-learn, Unity, Sketch, Airflow, Kubernetes","Certified Ethical Hacker (CEH), Project Management Professional (PMP), ISTQB Foundation Level",False,False,1,Workshop Hosting,"Distributed Systems, Database Management Systems",2,Innovative,Software Test Automation Engineer
"Ethical Hacking, Backend Development",On-site,8.5,"Conflict Resolution, Adaptability, Goal-Oriented Mindset, Business Communication",Java,"Postman, Mocha",,True,False,7,Student Government,"Artificial Intelligence, Entrepreneurship",1,"Intuitive, Strategic",Blockchain Developer
"Backend Development, Artificial Intelligence, Database Engineering",Remote,6.4,Negotiation,"SQL, C#, Python, Ruby, Java","Flask, Spring Boot, AWS",Microsoft Certified: SQL Associate,False,True,8,"Entrepreneurship Clubs, AR/VR Projects","Operating Systems, Object-Oriented Programming",3,Systematic,Software Developer (Backend)
"Natural Language Processing, Product Management",Remote,8.1,"Empathy, Planning and Organization, Communication",,"Airflow, Prometheus","Google Cloud Associate Cloud Engineer, Certified Ethical Hacker (CEH)",True,True,2,"Music, Gaming, UI/UX Projects, Case Competitions","Calculus, Probability and Statistics, Cryptography, Software Engineering",4,"Pragmatic, Result-Oriented",MS in Data Science
"UI/UX Design, Web Development",Remote,6.4,"Attention to Detail, Presentation Skills, Conflict Resolution, Time Management, Planning and Organization",,"Node.js, Vue.js",Responsive Web Design (freeCodeCamp),False,False,7,"Innovation Challenges, Music, AR/VR Projects, Startup Ideation Events","Database Management Systems, Project Management, User Interface Design, Web Technologies",1,"Creative, Analytical",Software Developer (Frontend)
"Backend Development, Computer Vision",On-site,6.9,"Customer Focus, Business Communication","Rust, Go","Helm, Kubernetes, Xcode, Adobe XD, Hadoop","Deep Learning Specialization (Coursera), AWS Certified Security Specialty, AWS Certified Cloud Practitioner",False,False,8,Debate Clubs,"Cryptography, Ethical Hacking, Theory of Computation",3,"Pragmatic, Big Picture Thinker",Technical Program Manager (TPM)
Cybersecurity,Hybrid,9.2,"Problem Solving, Strategic Thinking, Attention to Detail, Teamwork, Work Ethic","MATLAB, TypeScript, Shell (Bash)","Scikit-learn, Jest, Weights & Biases, Android Studio, Podman, PyCharm","Project Management Professional (PMP), AWS Certified Security Specialty",True,True,8,,"Human Computer Interaction, Virtualization and Containers, Machine Learning, Object-Oriented Programming",2,"User-Centered, Experimental",MS in Computer Science
Mobile App Development,Remote,6.1,"Critical Thinking, Attention to Detail","Julia, Assembly, Kotlin, Lisp","Git, Xcode, SwiftUI","iOS App Development with Swift (Apple), Project Management Professional (PMP), Cisco CCNA",True,False,2,"Club Leadership Roles, Gaming","Probability and Statistics, Object-Oriented Programming, Web Technologies",0,"Detail-Oriented, Collaborative",Mobile Developer (iOS)
"UI/UX Design, DevOps",Hybrid,9.4,"Collaboration, Customer Focus, Adaptability, Resilience",,"Airflow, Swagger, CircleCI, Tableau, Hadoop","Google Data Analytics Certificate, Google UX Design Certificate",False,False,8,"Innovation Challenges, AR/VR Projects, Event Management","Software Engineering, Linear Algebra, Web Technologies",2,Analytical,Big Data Engineer
"IoT (Internet of Things), Quantum Computing",Remote,8.6,"Goal-Oriented Mindset, Presentation Skills, Problem Solving","PHP, Assembly, Swift, Java","GitLab CI/CD, Podman, Grafana, Laravel","iOS App Development with Swift (Apple), Microsoft Certified: SQL Associate",True,False,4,"Music, Workshop Hosting, 3D Modeling, Podcast Creation","Calculus, Virtualization and Containers, Machine Learning",0,Logical,Quality Assurance Engineer
"Consulting, Quality Assurance / Testing, Software Engineering",Remote,6.5,"Goal-Oriented Mindset, Empathy, Creative Thinking",,"Scikit-learn, Vue.js, Jenkins, Terraform, GCP, Google Colab","Tableau Desktop Specialist, Microsoft Certified Azure Fundamentals, CompTIA Security+",True,True,2,,"Bioinformatics, User Interface Design, Cloud Infrastructure, Psychology",3,"Data-driven, Analytical",Research Intern (AI/ML)
"Technical Writing, Data Science, Big Data",Remote,8.1,Goal-Oriented Mindset,"PHP, PowerShell, Lisp, Python","Airflow, PostgreSQL, NumPy, Google Colab",SAFe Agilist Certification,True,True,1,"Open Source Contributions, Music, Robotics Competitions","Machine Learning, Computer Vision",0,Intuitive,Technical Consultant
"Cybersecurity, Networking, Computer Vision",On-site,7.9,Problem Solving,CSS,"Spark, Laravel",AWS Certified Security Specialty,True,False,8,"Debate Clubs, Volunteering, Teaching/TA Work, Gaming","Cryptography, Artificial Intelligence, Project Management, Computer Vision",2,"Data-driven, Detail-Oriented",Network Engineer
"Mobile App Development, Database Engineering",On-site,8.6,"Problem Solving, Innovative Thinking","MATLAB, SQL, Swift, Kotlin","Sketch, Weights & Biases, GCP, Git, SwiftUI, Confluence","iOS App Development with Swift (Apple), Microsoft Certified: SQL Associate",False,False,4,"Graphic Design, Blogging","Object-Oriented Programming, Software Engineering",1,"Pragmatic, Problem Solving",Mobile Developer (iOS)
"Human Computer Interaction, Design Systems, Database Engineering",Hybrid,7.0,"Empathy, Active Listening, Goal-Oriented Mindset",,"Scikit-learn, PostgreSQL, Docker",,True,True,2,"Teaching/TA Work, Music, Tech Meetups, Community Service","User Interface Design, Economics",2,"Detail-Oriented, Intuitive",Project Manager
"Deep Learning, Database Engineering",Remote,7.4,Adaptability,"Java, Haskell","Jest, Node.js, Power BI",HashiCorp Certified: Terraform Associate,False,False,2,"Hackathons, 3D Modeling, Video Editing","Data Mining, Entrepreneurship",3,"Pragmatic, Collaborative",AR/VR Developer
"Site Reliability Engineering (SRE), Frontend Development",Remote,8.7,"Strategic Thinking, Business Communication, Critical Thinking, Problem Solving","CSS, Lisp","Grafana, JUnit, Pytest, Jupyter Notebook, Confluence",Salesforce Certified Administrator,True,False,0,"Graphic Design, Video Editing, Student Government","Quantum Computing, Sociology, Psychology",3,"Intuitive, Innovative",Systems Engineer
"Networking, Quality Assurance / Testing, Software Engineering",Hybrid,9.3,"Problem Solving, Resilience, Time Management, Innovative Thinking","Java, Swift, Haskell","Selenium, React Native, Spark, Laravel, Swagger, AWS","Responsive Web Design (freeCodeCamp), Google Data Analytics Certificate",True,True,1,"Technical Writing, UI/UX Projects, Volunteering, 3D Modeling","Natural Language Processing, Bioinformatics, Computer Networks",1,Analytical,Research Intern (AI/ML)
"Systems Programming, Data Science, Project Management",Remote,8.6,"Strategic Thinking, Critical Thinking, Leadership",Julia,"Jira, IntelliJ IDEA, Sketch, ELK Stack","iOS App Development with Swift (Apple), Project Management Professional (PMP)",False,False,6,"Coding Clubs, Workshop Hosting, Gaming","Distributed Systems, IoT (Internet of Things), Operating Systems",3,Experimental,Security Engineer
"Database Engineering, Data Science",On-site,7.6,"Communication, Decision Making, Goal-Oriented Mindset, Attention to Detail","HTML, SQL, PHP, Java","Vue.js, GitLab CI/CD, Weights & Biases, Kubernetes, Android Studio, Angular","Machine Learning (Stanford/Coursera), CompTIA Security+",False,False,5,"Sports, Music, AR/VR Projects, Volunteering","Cryptography, Discrete Mathematics, Natural Language Processing",4,Logical,Data Engineer
"Backend Development, Data Science, Computer Vision",Remote,7.6,"Leadership, Decision Making, Attention to Detail",Haskell,"Figma, Mocha, Kubernetes, Adobe XD, ELK Stack","Microsoft Certified Azure Fundamentals, AWS Certified Security Specialty",True,False,1,"Student Government, Teaching/TA Work, Podcast Creation, Startup Ideation Events","Cryptography, Mobile Application Development, Theory of Computation, Quantum Computing",4,Analytical,Technical Program Manager (TPM)
"Technical Writing, Networking",On-site,8.2,Empathy,Kotlin,"Podman, Confluence","Linux Foundation Certified Kubernetes Admin, Cisco CCNA",False,False,7,"Mentorship Programs, Debate Clubs, Tech Meetups, Public Speaking","Entrepreneurship, Project Management",2,"Pragmatic, Creative",AI Ethicist
"Deep Learning, Data Science, Education Technology",On-site,8.8,"Planning and Organization, Customer Focus","JavaScript, CSS","Docker, VS Code, Xcode, Android Studio, MongoDB, Google Colab",Google Data Analytics Certificate,False,False,5,"Public Speaking, Video Editing","Technical Communication, Probability and Statistics",1,"Strategic, Analytical",Bioinformatics Engineer
