Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
"Deep Learning, Technical Writing",Hybrid,9.3,"Time Management, Strategic Thinking, Work Ethic, Planning and Organization",,"Hadoop, TensorFlow, Kubernetes, Podman, Azure, Android Studio","Google Cloud Associate Cloud Engineer, Cisco CCNA, SAFe Agilist Certification",True,True,4,,"User Interface Design, Computer Networks",3,"Systematic, Detail-Oriented",MS in Data Science
"Site Reliability Engineering (SRE), IoT (Internet of Things)",Hybrid,9.9,"Presentation Skills, Empathy, Communication, Business Communication","Python, Shell (Bash), Go, PowerShell","Prometheus, Angular, Podman, NumPy, Tableau, Unity","HashiCorp Certified: Terraform Associate, Docker Certified Associate",True,False,5,"Open Source Contributions, Student Government","Probability and Statistics, Software Engineering, Linear Algebra, Computer Networks",0,"Automation Mindset, Innovative",DevOps Engineer
"Product Management, Consulting",Hybrid,7.7,"Collaboration, Active Listening","SQL, Rust, PHP, MATLAB","ELK Stack, PyTorch, Ansible, Podman, Jenkins","Frontend Development Libraries (freeCodeCamp), Machine Learning (Stanford/Coursera), Linux Foundation Certified Kubernetes Admin",True,False,8,,"Cloud Infrastructure, Mobile Application Development, Quantum Computing, Biology",4,"Logical, Creative",MLOps Engineer
"Database Engineering, Big Data, Mobile App Development",On-site,7.9,Presentation Skills,"PHP, Shell (Bash)","Scikit-learn, AWS, Hadoop, InVision","Backend Development (Node.js), Docker Certified Associate, Certified Ethical Hacker (CEH)",False,False,8,"Public Speaking, Sports, 3D Modeling, Startup Ideation Events","Natural Language Processing, Calculus",2,Big Picture Thinker,Business Analyst
"Entrepreneurship, IoT (Internet of Things)",Remote,7.9,"Customer Focus, Work Ethic","Kotlin, Java","React, VS Code, Azure",,False,False,0,"Podcast Creation, Student Government, Startup Ideation Events","Mobile Application Development, Linear Algebra, Data Mining, Psychology",1,"Systematic, Big Picture Thinker",Bioinformatics Engineer
"Product Management, Technical Writing, UI/UX Design",Hybrid,6.2,"Adaptability, Critical Thinking, Goal-Oriented Mindset, Collaboration",C#,"Unreal Engine, Swagger, Google Colab, Looker",,True,True,0,,"Quantum Computing, Theory of Computation, Discrete Mathematics, IoT (Internet of Things)",0,Big Picture Thinker,Research Intern (General)
"Site Reliability Engineering (SRE), Platform Engineering",Hybrid,9.2,"Conflict Resolution, Attention to Detail, Innovative Thinking",,"Azure, Terraform","Deep Learning Specialization (Coursera), Microsoft Certified: Power BI Data Analyst Associate, Certified Ethical Hacker (CEH)",False,False,6,"Online Coding Contests, Coding Clubs","Cyber Security, Chemistry, Bioinformatics",2,Big Picture Thinker,Technical Writer
Deep Learning,On-site,8.8,"Communication, Creative Thinking, Problem Solving, Decision Making, Negotiation",,"Kafka, InVision, Confluence, Figma, Cypress, PyCharm","CompTIA Security+, Microsoft Certified Azure Fundamentals, iOS App Development with Swift (Apple)",False,False,2,Event Management,"Cyber Security, Information Security, Robotics, Psychology",4,Detail-Oriented,Network Engineer
"Site Reliability Engineering (SRE), Finance Technology, Technical Writing",On-site,7.0,Communication,,"React Native, Android Studio, DBT",,False,False,1,"Open Source Contributions, Music, Debate Clubs","Distributed Systems, Cloud Computing, Bioinformatics",3,"User-Centered, Collaborative",Quality Assurance Engineer
"Cloud Computing, Consulting, Platform Engineering",Remote,7.4,Adaptability,,"AWS, Docker, Insomnia, Jest, Git, Azure","Certified ScrumMaster (CSM), ISTQB Foundation Level, Responsive Web Design (freeCodeCamp)",True,False,8,"3D Modeling, Photography, UI/UX Projects","Physics, Economics, Computer Vision",2,"Logical, Creative",Project Manager
"Web Development, Frontend Development",Hybrid,6.9,"Communication, Decision Making, Work Ethic, Active Listening, Attention to Detail","CSS, C++","Hadoop, Selenium, Webpack, Xcode, NumPy","Frontend Development Libraries (freeCodeCamp), Responsive Web Design (freeCodeCamp)",False,False,3,Photography,"Web Technologies, Data Structures and Algorithms",0,User-Centered,Software Developer (Frontend)
"Human Computer Interaction, Consulting, Embedded Systems",On-site,6.4,"Negotiation, Decision Making","Dart, PowerShell","Express.js, Kubernetes, MySQL, Unreal Engine, Tableau","Machine Learning (Stanford/Coursera), iOS App Development with Swift (Apple)",True,False,8,"Online Coding Contests, Innovation Challenges","Project Management, Data Structures and Algorithms, Theory of Computation, Computer Architecture",4,"Innovative, Result-Oriented",Database Administrator
"Networking, Cloud Computing",Hybrid,7.3,"Customer Focus, Work Ethic, Collaboration, Planning and Organization","Go, Python, Dart, Shell (Bash)","Docker, Terraform, Git","AWS Certified Cloud Practitioner, Microsoft Certified Azure Fundamentals",True,False,8,"Robotics Competitions, Startup Ideation Events, Music, Innovation Challenges","Database Management Systems, Computer Networks, IoT (Internet of Things)",0,Strategic Thinking,Cloud Engineer
"Technical Writing, Computer Vision",Remote,6.3,Decision Making,"Scala, PHP, Go, Julia","GCP, Vue.js, Docker, PyTorch, Podman, Spring Boot",Microsoft Certified: Power BI Data Analyst Associate,False,False,2,"Teaching/TA Work, Video Editing, Club Leadership Roles","Economics, Computer Architecture",1,Big Picture Thinker,Technical Program Manager (TPM)
"Machine Learning, Entrepreneurship, Data Science",On-site,9.6,"Analytical Thinking, Active Listening, Negotiation, Collaboration",Python,"Unreal Engine, Spring Boot, Git",,True,True,2,"Open Source Contributions, Tech Meetups, Online Coding Contests, Teaching/TA Work","Machine Learning, Distributed Systems",4,Critical Thinking,Data Scientist
"Ethical Hacking, Education Technology",Hybrid,8.3,"Problem Solving, Empathy, Attention to Detail, Leadership",Assembly,"AWS, ELK Stack, Express.js, Android Studio","Certified Ethical Hacker (CEH), Android Developer Certification (Google), Kubernetes Certified Administrator (CKA)",False,False,4,"Teaching/TA Work, Coding Clubs, Innovation Challenges, Hackathons","Mobile Application Development, Economics",4,Strategic,AI Prompt Engineer
Deep Learning,On-site,7.1,"Presentation Skills, Leadership, Accountability, Planning and Organization","Rust, PHP, Shell (Bash), Scala","MongoDB, Helm, Angular, Ansible, Spring Boot","CompTIA Security+, Oracle Certified Java Programmer",True,True,1,"Teaching/TA Work, Case Competitions, Startup Ideation Events, Podcast Creation","Quantum Computing, Sociology",3,Data-driven,AR/VR Developer
"Quantum Computing, Systems Programming",On-site,7.4,"Leadership, Innovative Thinking, Conflict Resolution, Emotional Intelligence","Assembly, CSS, JavaScript, Go","Google Colab, Weights & Biases","Microsoft Certified: SQL Associate, Microsoft Certified: Power BI Data Analyst Associate, Microsoft Certified: Azure AI Engineer",True,True,0,Blogging,"Data Mining, Computer Vision",1,Collaborative,Research Intern (AI/ML)
"Deep Learning, IoT (Internet of Things)",Hybrid,8.2,Communication,"Go, Lisp, Shell (Bash), Ruby","VS Code, PyTorch, Grafana, Unity",,False,False,2,"Animation Design, Entrepreneurship Clubs, Video Editing","Linear Algebra, Operating Systems, Psychology",4,Result-Oriented,Game Developer
"DevOps, Systems Programming, UI/UX Design",On-site,6.1,"Creative Thinking, Communication, Collaboration","HTML, Scala, MATLAB, Java","Django, Insomnia, Power BI, DBT, Git, Node.js",IBM Data Science Professional Certificate,False,False,6,"Open Source Contributions, Student Government, Robotics Competitions","Sociology, Ethical Hacking",3,Analytical,Cybersecurity Analyst
"Entrepreneurship, Mobile App Development, UI/UX Design",Remote,7.3,"Attention to Detail, Time Management, Multitasking, Strategic Thinking","Python, Kotlin, C++, Java","Android Studio, Ansible, Git, Gradle","Frontend Development Libraries (freeCodeCamp), Deep Learning Specialization (Coursera)",True,False,6,"Workshop Hosting, Podcast Creation","Information Security, Artificial Intelligence, Software Engineering, Computer Networks",1,"User-Centered, Creative",Mobile Developer (Android)
Project Management,Remote,6.2,"Time Management, Presentation Skills","PHP, PowerShell","Angular, TensorFlow, InVision","HashiCorp Certified: Terraform Associate, Microsoft Certified: Power BI Data Analyst Associate, Oracle Certified Java Programmer",True,True,3,,"Distributed Systems, Probability and Statistics, Blockchain, Object-Oriented Programming",1,"Pragmatic, Result-Oriented",AI Ethicist
"DevOps, Deep Learning",Hybrid,8.3,"Resilience, Innovative Thinking, Collaboration, Communication, Active Listening","SQL, HTML, Swift, C++","Swagger, PyCharm, VS Code, Git, Node.js, Xcode",Google Data Analytics Certificate,False,False,2,"Open Source Contributions, Gaming, Innovation Challenges, Robotics Competitions","Artificial Intelligence, Mobile Application Development",2,Strategic,Data Engineer
"Education Technology, Systems Programming",Remote,9.2,"Analytical Thinking, Business Communication, Accountability, Work Ethic, Collaboration",JavaScript,"Bitbucket, Sketch, PyCharm, Xcode, Unity",,False,False,0,"Innovation Challenges, Music, Technical Writing, Community Service","Entrepreneurship, Probability and Statistics, Digital Logic Design",2,Detail-Oriented,Platform Engineer
"Database Engineering, Frontend Development",Remote,8.3,"Decision Making, Attention to Detail, Leadership, Adaptability",,"Spring Boot, Prometheus, Jupyter Notebook, MySQL, Node.js, Laravel","Project Management Professional (PMP), Microsoft Certified: Azure AI Engineer",False,False,0,"Graphic Design, Teaching/TA Work","Web Technologies, Project Management",3,Intuitive,IoT Engineer
"Networking, Entrepreneurship, Deep Learning",On-site,6.7,"Business Communication, Communication, Critical Thinking","JavaScript, Shell (Bash)","PyCharm, Adobe XD, Postman, Kubernetes",,True,True,5,"Startup Ideation Events, Hackathons, Photography","Big Data Analytics, Psychology",0,"Innovative, Big Picture Thinker",Security Engineer
"Technical Writing, Bioinformatics",Remote,6.4,"Teamwork, Analytical Thinking, Work Ethic, Creative Thinking, Customer Focus","Dart, TypeScript","Figma, PostgreSQL",,False,False,6,"Gaming, Music, Debate Clubs, Hackathons","Entrepreneurship, Probability and Statistics, Digital Logic Design, Biology",2,Big Picture Thinker,Blockchain Developer
"Artificial Intelligence, Big Data, Academic Research",Remote,8.5,"Strategic Thinking, Creative Thinking, Collaboration","C#, Go, Ruby, TypeScript","Flutter, TensorFlow","Android Developer Certification (Google), Google UX Design Certificate",False,True,1,"Coding Clubs, Online Coding Contests, Gaming, Technical Writing","Data Mining, Natural Language Processing, Blockchain, Operating Systems",3,"Data-driven, Result-Oriented",Solutions Architect
"Machine Learning, Human Computer Interaction, Project Management",Hybrid,9.5,"Active Listening, Creative Thinking",,"Node.js, Vue.js, Docker, Canva",,False,False,2,Community Service,"Human Computer Interaction, Big Data Analytics, Database Management Systems",0,Innovative Thinking,UI/UX Designer
"Cloud Computing, UI/UX Design",On-site,8.6,"Adaptability, Presentation Skills",,"AWS, Jest, Flask","Microsoft Certified: Azure AI Engineer, Cisco CCNA",False,False,4,"Community Service, 3D Modeling, Podcast Creation, Music","Cyber Security, Physics",2,"User-Centered, Data-driven",Project Manager
"DevOps, Deep Learning",Hybrid,8.5,"Communication, Emotional Intelligence, Attention to Detail, Critical Thinking, Active Listening","PowerShell, Ruby, C++","Pandas, Confluence, Sketch, Git, Xcode","Google Data Analytics Certificate, Microsoft Certified: Power BI Data Analyst Associate",False,False,1,"Podcast Creation, Technical Writing, Tech Meetups, Case Competitions","Cloud Infrastructure, Human Computer Interaction, Artificial Intelligence, Mobile Application Development",0,Intuitive,Data Engineer
"Education Technology, Systems Programming",Remote,8.3,"Goal-Oriented Mindset, Adaptability, Presentation Skills, Innovative Thinking, Work Ethic","C#, Go, C++","Sketch, Mocha, Insomnia, Unity",Oracle Certified Java Programmer,False,False,7,"Innovation Challenges, Sports","Entrepreneurship, Human Computer Interaction, Business Intelligence",0,Big Picture Thinker,Platform Engineer
"Data Science, Consulting, Quality Assurance / Testing",Hybrid,7.5,"Multitasking, Decision Making, Negotiation","Rust, Python","ELK Stack, Swagger, Ansible, Terraform",Linux Foundation Certified Kubernetes Admin,True,True,6,Technical Writing,"Machine Learning, Project Management, Mobile Application Development, Digital Logic Design",2,Creative,MLOps Engineer
"Software Engineering, Mobile App Development",On-site,6.8,"Creative Thinking, Collaboration, Resilience",C++,"Firebase, AWS, Android Studio, Git",,True,True,0,"Open Source Contributions, Podcast Creation, Innovation Challenges, Workshop Hosting","Mobile Application Development, Data Mining, Object-Oriented Programming",0,Innovative Thinking,Mobile Developer (Android)
"Quantum Computing, Design Systems",Remote,7.6,Time Management,"Assembly, Lisp, C#, PowerShell","Android Studio, Weights & Biases","Backend Development (Node.js), PCEP – Certified Entry-Level Python Programmer, Kubernetes Certified Administrator (CKA)",True,True,3,Hackathons,"Cloud Infrastructure, Artificial Intelligence, Blockchain, Biology",3,"Systematic, Big Picture Thinker",Embedded Systems Engineer
"Business Analysis, Academic Research",On-site,9.5,"Multitasking, Planning and Organization","JavaScript, Go, Haskell","Airflow, Cypress","Frontend Development Libraries (freeCodeCamp), Android Developer Certification (Google), AWS Certified Security Specialty",False,False,1,"Community Service, Hackathons","Mobile Application Development, Data Mining, Object-Oriented Programming, Calculus",1,Systematic,Software Test Automation Engineer
"Networking, Product Management",Hybrid,8.8,"Planning and Organization, Active Listening",,"Xcode, Django, Looker",Machine Learning (Stanford/Coursera),True,True,5,"Case Competitions, Student Government","Artificial Intelligence, Cryptography, Operating Systems, IoT (Internet of Things)",3,Data-driven,Research Intern (General)
"Technical Writing, Design Systems, Computer Vision",Remote,6.8,"Resilience, Attention to Detail, Creative Thinking, Negotiation",,"GCP, Airflow, Jest, DBT, Git, Laravel","Docker Certified Associate, Certified ScrumMaster (CSM), Machine Learning (Stanford/Coursera)",True,True,6,,"Data Structures and Algorithms, Linear Algebra, Economics, Computer Networks",0,Analytical,Technical Program Manager (TPM)
Finance Technology,Remote,6.6,"Conflict Resolution, Problem Solving",Java,"Android Studio, DBT","Tableau Desktop Specialist, ISTQB Foundation Level, iOS App Development with Swift (Apple)",False,False,6,"Entrepreneurship Clubs, Community Service","Project Management, Cloud Computing, Sociology, Blockchain",4,"Strategic, User-Centered",Quality Assurance Engineer
"Human Computer Interaction, Technical Writing",Hybrid,8.8,"Negotiation, Active Listening",,"Sketch, Adobe XD",Google UX Design Certificate,False,False,8,"Hackathons, Photography","Web Technologies, Information Security, Graphic Design, Calculus",0,Innovative Thinking,UI/UX Designer
"Entrepreneurship, Cybersecurity, IoT (Internet of Things)",Remote,9.7,"Critical Thinking, Planning and Organization, Customer Focus, Work Ethic","Assembly, Java, PowerShell","Scikit-learn, React, NumPy, Azure",Project Management Professional (PMP),False,True,7,"Case Competitions, Online Coding Contests, Photography","Probability and Statistics, Sociology, Ethical Hacking",1,Creative,Bioinformatics Engineer
"Project Management, Technical Writing, Computer Vision",Hybrid,7.6,"Leadership, Accountability, Creative Thinking, Decision Making","Julia, TypeScript","GCP, Jira, Mocha, Scikit-learn, Tableau, Unity",Android Developer Certification (Google),True,True,3,Teaching/TA Work,"Economics, Digital Logic Design",1,Big Picture Thinker,Technical Program Manager (TPM)
"Full Stack Development, Deep Learning, Frontend Development",Remote,7.8,"Time Management, Customer Focus, Goal-Oriented Mindset","CSS, Shell (Bash), C++","Angular, JUnit, Spring Boot","Salesforce Certified Administrator, SAFe Agilist Certification, Responsive Web Design (freeCodeCamp)",False,False,8,"Event Management, Startup Ideation Events, Case Competitions, Coding Clubs","Quantum Computing, Chemistry, Sociology, Natural Language Processing",4,"Detail-Oriented, Big Picture Thinker",AR/VR Developer
Ethical Hacking,On-site,6.5,"Conflict Resolution, Adaptability, Teamwork, Work Ethic, Planning and Organization",Haskell,"Hadoop, AWS, Scikit-learn, PyCharm, VS Code",SAFe Agilist Certification,True,True,8,Coding Clubs,"Quantum Computing, Ethical Hacking, Machine Learning, Calculus",2,Big Picture Thinker,Business Analyst
"Ethical Hacking, Education Technology",Hybrid,9.1,"Teamwork, Strategic Thinking, Creative Thinking, Empathy","Python, Ruby, Rust","ELK Stack, Express.js, Kubernetes, Prometheus, Postman, Looker",,True,True,6,"Animation Design, Gaming, Debate Clubs","Mobile Application Development, Digital Logic Design, Biology",0,Strategic,AI Prompt Engineer
"Site Reliability Engineering (SRE), Computer Vision",Remote,9.7,"Planning and Organization, Goal-Oriented Mindset, Emotional Intelligence, Strategic Thinking, Presentation Skills","Go, PowerShell","AWS, PyTorch, Prometheus, PostgreSQL, Git","Kubernetes Certified Administrator (CKA), Docker Certified Associate, Certified ScrumMaster (CSM)",True,True,7,"Entrepreneurship Clubs, Startup Ideation Events, Video Editing","Compiler Design, Virtualization and Containers, Computer Architecture",4,Resilience,DevOps Engineer
"Human Computer Interaction, Web Development, Systems Programming",Hybrid,9.7,"Leadership, Problem Solving, Critical Thinking",,"IntelliJ IDEA, React Native, MySQL, Android Studio, Tableau",,False,True,3,"Sports, Mentorship Programs, Innovation Challenges, Music","Ethical Hacking, Computer Architecture",1,"Experimental, Innovative",Database Administrator
"Networking, Mobile App Development",Hybrid,7.5,"Customer Focus, Conflict Resolution","HTML, Rust, JavaScript, Dart","TensorFlow, Adobe XD, Postman, Unity","AWS Certified Cloud Practitioner, Docker Certified Associate, Responsive Web Design (freeCodeCamp)",True,False,5,UI/UX Projects,"Big Data Analytics, Sociology, Bioinformatics, Computer Networks",3,Innovative,Security Engineer
"Game Development, Education Technology",Hybrid,6.1,Goal-Oriented Mindset,"Swift, C++","Unreal Engine, MongoDB, Prometheus, NumPy",,False,False,5,,"Chemistry, Computer Architecture",0,"Strategic, Innovative",Product Manager
"Deep Learning, Frontend Development, Computer Vision",Remote,8.2,"Strategic Thinking, Attention to Detail",Shell (Bash),"Angular, Kafka, Spring Boot","Certified Ethical Hacker (CEH), Machine Learning (Stanford/Coursera)",True,False,2,UI/UX Projects,"Quantum Computing, Sociology",2,"Data-driven, Pragmatic",AR/VR Developer
"Full Stack Development, Natural Language Processing, Platform Engineering",On-site,8.9,Resilience,"CSS, R, Scala, C++","Azure, InVision",,True,True,0,"3D Modeling, Entrepreneurship Clubs, Coding Clubs, UI/UX Projects","Cloud Infrastructure, Chemistry, Technical Communication, Digital Logic Design",3,Detail-Oriented,Ph.D. Candidate
"Finance Technology, Education Technology, Systems Programming",Remote,6.1,"Attention to Detail, Adaptability",,"Sketch, VS Code, Unity",AWS Certified Security Specialty,False,False,5,"UI/UX Projects, Coding Clubs","Entrepreneurship, Data Structures and Algorithms, Data Mining, Object-Oriented Programming",3,"Detail-Oriented, Data-driven",Platform Engineer
"Cybersecurity, Mobile App Development, Design Systems",On-site,7.5,"Active Listening, Presentation Skills, Adaptability, Negotiation, Critical Thinking",Assembly,"Kubernetes, AWS, Scikit-learn, Azure, React","Frontend Development Libraries (freeCodeCamp), Project Management Professional (PMP), Machine Learning (Stanford/Coursera)",True,False,5,"Tech Meetups, Case Competitions","Human Computer Interaction, Robotics, Object-Oriented Programming, Calculus",1,Big Picture Thinker,Business Analyst
Deep Learning,Hybrid,6.2,"Collaboration, Innovative Thinking, Analytical Thinking, Negotiation","R, C++","Scikit-learn, MLflow, Kubernetes",,False,False,1,"Open Source Contributions, Online Coding Contests","Human Computer Interaction, Software Engineering, Computer Vision",0,Analytical,Machine Learning Engineer
"Digital Marketing, Web Development, Site Reliability Engineering (SRE)",Hybrid,7.9,Innovative Thinking,,"Spring Boot, Airflow, Figma, Sketch, Tableau","Frontend Development Libraries (freeCodeCamp), Android Developer Certification (Google), Responsive Web Design (freeCodeCamp)",False,False,4,Podcast Creation,"Web Technologies, Computer Networks",4,Creative,Software Developer (Frontend)
"Human Computer Interaction, Frontend Development",Remote,8.6,"Attention to Detail, Customer Focus, Goal-Oriented Mindset",PowerShell,"Weights & Biases, Scikit-learn, Flutter, Postman, Tableau","Tableau Desktop Specialist, Microsoft Certified: Azure AI Engineer",True,False,1,"Photography, Entrepreneurship Clubs","Database Management Systems, Bioinformatics",2,"Data-driven, Collaborative",Technical Consultant
"Education Technology, Systems Programming",Remote,9.1,"Work Ethic, Empathy, Decision Making, Creative Thinking",,"Sketch, CircleCI, Laravel, Unity","Google Data Analytics Certificate, Machine Learning (Stanford/Coursera)",False,False,6,Online Coding Contests,"Mobile Application Development, Database Management Systems, Object-Oriented Programming",1,Detail-Oriented,Platform Engineer
"Quantum Computing, Business Analysis, Design Systems",On-site,7.4,"Innovative Thinking, Active Listening","Assembly, C++","Android Studio, Weights & Biases","CompTIA Security+, PCEP – Certified Entry-Level Python Programmer, Google UX Design Certificate",True,True,1,"Video Editing, Sports, Online Coding Contests","Artificial Intelligence, Business Intelligence",3,"Systematic, Creative",Embedded Systems Engineer
"Networking, Cloud Computing",Remote,8.0,"Resilience, Business Communication","Shell (Bash), Scala, C++","Kubernetes, GCP, Terraform","Google Cloud Associate Cloud Engineer, AWS Certified Solutions Architect - Associate",False,True,4,"Workshop Hosting, Club Leadership Roles","Distributed Systems, Artificial Intelligence, Digital Logic Design, Computer Networks",4,Strategic Thinking,Cloud Engineer
"Artificial Intelligence, Entrepreneurship, Data Science",On-site,7.0,"Work Ethic, Problem Solving, Collaboration, Critical Thinking","Assembly, Kotlin, C++","GitLab CI/CD, Unity, MLflow, Git",Microsoft Certified Azure Fundamentals,True,True,8,"Animation Design, Teaching/TA Work, Video Editing, Technical Writing","Probability and Statistics, Robotics",2,"User-Centered, Innovative Thinking",Machine Learning Engineer
"Big Data, Design Systems",Hybrid,9.6,Presentation Skills,"Lisp, C#, Dart, Java","Node.js, React Native, Ansible, Git",,True,True,5,"Animation Design, UI/UX Projects, Video Editing","Natural Language Processing, Digital Logic Design",0,Logical,MS in Computer Science
"Machine Learning, Data Science",Hybrid,6.9,Planning and Organization,"SQL, Python, R","GCP, Pandas, Git",Kubernetes Certified Administrator (CKA),True,False,8,,"Machine Learning, Distributed Systems, Big Data Analytics, Business Intelligence",1,Data-driven,Data Scientist
"Data Science, Consulting",On-site,8.2,"Goal-Oriented Mindset, Customer Focus","SQL, C#, MATLAB","ELK Stack, Google Colab, Azure","Frontend Development Libraries (freeCodeCamp), Tableau Desktop Specialist, Project Management Professional (PMP)",True,True,7,Club Leadership Roles,"Mobile Application Development, Computer Architecture",0,"Detail-Oriented, Creative",MLOps Engineer
"DevOps, UI/UX Design",On-site,6.9,"Problem Solving, Conflict Resolution, Communication, Attention to Detail","Lisp, R, C++, Java","Node.js, Insomnia",HashiCorp Certified: Terraform Associate,True,False,6,"Event Management, Debate Clubs, Online Coding Contests","Sociology, Ethical Hacking",1,"Analytical, Pragmatic",Cybersecurity Analyst
"Database Engineering, Software Engineering",On-site,8.1,"Critical Thinking, Work Ethic, Active Listening","SQL, Go, Ruby, Java","IntelliJ IDEA, Kubernetes, Docker, PostgreSQL, PyCharm, Android Studio","AWS Certified Cloud Practitioner, Backend Development (Node.js), Microsoft Certified: SQL Associate, Oracle Certified Java Programmer",True,False,7,"Public Speaking, Club Leadership Roles, Gaming","Software Engineering, Operating Systems",1,Logical,Software Developer (Backend)
"Entrepreneurship, UI/UX Design, IoT (Internet of Things)",On-site,6.6,"Adaptability, Goal-Oriented Mindset, Customer Focus",PowerShell,"Unreal Engine, Jest, NumPy, Android Studio",Machine Learning (Stanford/Coursera),False,False,5,,"Physics, Economics, Calculus, Biology",0,Creative,Project Manager
